,R&D Spend,Administration,Marketing Spend,Profit
0,95000.5,120000.75,280000.4,131218.11793407646
1,87000.1,112000.6,240000.0,123941.26389053522
2,76000.0,99000.45,210000.3,114751.11010057104
3,62000.25,104000.8,160000.9,102504.32720593149
4,115000.75,131000.2,330000.6,147883.59260366537
5,47000.4,94000.1,110000.5,89619.95047658752
6,32000.6,72000.3,85000.2,77630.93861893677
7,128000.9,142000.55,360000.75,158605.35631155383
8,52000.35,86000.65,125000.45,93952.32846366207
9,15000.0,52000.0,45000.0,63630.298206471925
10,102000.4,118000.25,295000.6,137017.89113618337
11,69000.75,98000.9,175000.25,108336.59436247023
12,58000.6,91000.45,155000.8,99417.95303153672
13,134000.2,149000.6,400000.9,164373.863836949
14,81000.3,109000.75,230000.4,119099.26278614618
15,27000.45,68000.2,98000.6,74289.64172258653
16,92000.8,116000.35,265000.1,128497.6544414893
17,43000.25,87000.9,140000.7,87603.8549099064
18,140000.6,138000.4,410000.8,169328.5790618028
19,60000.75,101000.1,185000.55,101812.34752900794
