,R&D Spend,Administration,Marketing Spend,Profit
0,85000.5,120000.75,300000.4,114077.24842406581
1,92000.1,110500.6,250000.0,119340.5547587208
2,75000.0,98000.45,200000.3,101455.87756429154
3,60000.25,105000.8,150000.9,85415.72604056186
4,110000.75,130000.2,320000.6,138773.4474781987
5,45000.4,95000.1,100000.5,69450.3788193312
6,30000.6,70000.3,80000.2,54471.35649181476
7,125000.9,140000.55,350000.75,154125.63435243416
8,50000.35,85000.65,120000.45,74933.16099024791
9,10000.0,50000.0,40000.0,34030.77031265049
