,AdSpend,predicted-sales
0,10.4,6.945440761332186
1,14.8,7.344752785458619
2,19.6,7.780365902687453
3,21.9,7.989097188026271
4,27.3,8.47916194490871
5,31.5,8.860323422483942
6,36.8,9.341312906090781
7,42.7,9.876754029351225
8,48.9,10.43942097243847
9,52.4,10.757055537084497
10,58.6,11.319722480171741
11,63.7,11.782561417227381
12,69.5,12.308927267212223
13,73.8,12.699164018063055
14,79.4,13.207379321496695
15,84.9,13.706519351654737
16,89.7,14.142132468883572
17,93.5,14.4869928533564
18,101.2,15.185788895577657
19,106.8,15.694004199011298
20,112.4,16.20221950244494
21,118.9,16.792112265358988
22,124.6,17.30940284206823
23,130.3,17.826693418777474
24,136.7,18.407510908415915
25,142.9,18.970177851503166
26,148.4,19.469317881661205
27,154.8,20.050135371299653
28,160.5,20.567425948008896
29,166.2,21.084716524718136
30,171.6,21.574781281600576
31,176.8,22.046695491931814
32,182.5,22.563986068641057
33,186.9,22.96329809276749
34,191.4,23.371685390169525
35,195.8,23.770997414295955
36,201.6,24.297363264280797
37,205.9,24.68760001513163
38,209.8,25.04153567288006
39,213.5,25.377320784077284
40,218.7,25.849234994408523
41,222.4,26.18502010560575
42,225.6,26.475428850424976
43,227.9,26.684160135763793
44,229.4,26.820289234897803
